wtfffff
who tryna go eat
snapchat me barzinji-island
rt this week's profit.
bored afff
how rugby
didarrrrr
what up boahhhh
lmfaoooooo
who's assyrian in ur family? lmfao tooba or kaki
true but i always sell them
shouldn't have sold my nissan
my dad is a dealer but can't get me a car
iphone
need a new car
rt i'm schleep
sorry for the wait
rt you have a kag de lare 5 o' clock shadow dumbass
tryna become a dj lol
dumbass movies on netflix
hello
get the fuck outta here
happy birthday g
why does everybody love the rain
damn don't remember the last time i worked
need this damn knee to be 100% asap
dead!!
wish i could just sleep
rt you learn from your mistakes.
hello
didar come out to play
lost old account
rt hmmm didar?
